"16-ABO. CAT. ""A""",,,,,,,,
CARRERA,NOMBRE CORTO,FECHA,CÁTEDRA,Hora,Tipo Examen,Monitoreo,Material Permitido,Observaciones
16,PRAC.FORENSE II,2/6/2025,A,18:00,ESCRITO ENSEDE ,,NO PERMITIDO,
16,DEONT. JUR.,2/6/2025,A,16:00,ESCRITO ENSEDE ,,NO PERMITIDO,
16,PRAC. FORENSE I,2/6/2025,A,18:00,ESCRITO ENSEDE ,,NO PERMITIDO,
16,Dº REALES,3/6/2025,A,16:00,ESCRITO EN SEDE ,,NO PERMITIDO,
16,Dº CIV. REALES,3/6/2025,A,16:00,ESCRITO EN SEDE ,,NO PERMITIDO,
16,Dº CIVIL FLIA.,3/6/2025,A,18:00,ESCRITO EN SEDE ,,NO PERMITIDO,
16,Dº CIVIL SUCES.,3/6/2025,A,18:00,ESCRITO EN SEDE ,,NO PERMITIDO,
16,MET. RESOLUCIÓN,4/6/2025,A,16:00,ESCRITO EN SEDE ,,NO PERMITIDO,
16,Dº PUB.PROV.MUN,4/6/2025,A,18:00,ESCRITO EN SEDE ,,NO PERMITIDO,
16,Dº PUB. PROV. MUNI,4/6/2025,A,18:00,ESCRITO EN SEDE ,,NO PERMITIDO,
16,D°ADMINISTRATIVO,4/6/2025,A,18:00,ESCRITO EN SEDE ,,NO PERMITIDO,
16,DOC.SOC.IGLESIA,5/6/2025,A,16:00,ESCRITO EN SEE ,,NO PERMITIDO,
16,DºPREVIS. SEM II,5/6/2025,A,18:00,ESCRITO EN SEE ,,NO PERMITIDO,NO HAY INSCRIPTOS
16,DºNUEV.TEC.SEM II,5/6/2025,A,18:00,ESCRITO EN SEE ,,Está permitido el uso de los módulos y la normativa.,"El material se encuentra disponible en la pesaña de ""examen final"". Se debe solo abrir este apartado durante el final."
16,Dº REGISTRAL SEM II,5/6/2025,A,18:00,ESCRITO EN SEE ,,NO PERMITIDO,
16,FIL. DEL DER.,5/6/2025,A,18:00,ESCRITO EN SEE ,,NO PERMITIDO,
16,Dº DEL TRABAJO,5/6/2025,A,18:00,ESCRITO EN SEE ,,NO PERMITIDO,
16,Dº COLEC.S.S.,5/6/2025,A,18:00,ESCRITO EN SEE ,,NO PERMITIDO,
16,Dº CARTULAR,6/6/2025,A,16:00,ESCRITO EN SEDE ,,NO PERMITIDO,
16,Dº CONCURSAL,6/6/2025,A,16:00,ESCRITO EN SEDE ,,NO PERMITIDO,
16,Dº CONCURSAL,6/6/2025,A,16:00,ESCRITO EN SEDE ,,NO PERMITIDO,
16,Dº SOCIETARIO,6/6/2025,A,16:00,ESCRITO EN SEDE ,,"Se admite bibliografia y apuntes, 
sin acceso a busquedas en internet",
16,Dº PROC. PENAL,9/6/2025,A,18:00,ESCRITO EN SEDE ,,NO PERMITIDO,
16,Dº PROC PEN II,9/6/2025,A,18:00,ESCRITO EN SEDE ,,NO PERMITIDO,
16,REC. NAT.,9/6/2025,A,16:00,ESCRITO EN SEDE ,,NO PERMITIDO,
16,Dº AMBIENTAL Y RRNN,9/6/2025,A,16:00,ESCRITO EN SEDE ,,NO PERMITIDO,
16,Dº PROC PEN I,9/6/2025,A,18:00,ESCRITO EN SEDE ,,NO PERMITIDO,
16,Dº INT. PRIVADO,9/6/2025,A,18:00,ESCRITO EN SEDE ,,"Se admite bibliografia, sin acceso a busquedas en internet",
16,Dº INT. PUBL.,10/6/2025,A,9:30,ORAL VIRTUAL ,,NO PERMITIDO,
16,Dº INTERNACIONAL PÚB,10/6/2025,A,9:30,ORAL VIRTUAL ,,NO PERMITIDO,
16,FZAS Y Dº FCIER,10/6/2025,A,16:00,ESCRITO EN SEDE ,,NO PERMITIDO,
16,Dº FINANCIERO Y TRIB,10/6/2025,A,16:00,ESCRITO EN SEDE ,,NO PERMITIDO,
