PADRE,,,,,,,
CARRERA,NOMBRE CORTO,Monitoreo,FECHA,Hora,Tipo Examen,Material Permitido,Observaciones
16,Dº INTERNACIONAL PÚB,------,6/5/2025,12:00,ORAL VIRTUAL,NO PERMITIDO,"Examen virtual domiciliario, asegurar funcionamieto de cámara y micrófono, caso contrario no se evaluara."
16,Dº INT. PUBL.,------,6/5/2025,12:00,ORAL VIRTUAL,NO PERMITIDO,"Examen virtual domiciliario, asegurar funcionamieto de cámara y micrófono, caso contrario no se evaluara."
16,Dº CIVIL FLIA.,------,6/5/2025,17:30,ORAL VIRTUAL,NO PERMITIDO,"Se posterga la mesa de Familia cátedra C para el miércoles 7/5
"
16,Dº ROMANO,PRCTORING,6/5/2025,16:00,ESCRITO EN SEDE ,NO PERMITIDO,El acto evalutivo se llevara a cabo el dia 09/05 
16,Dº ROMANO,PRCTORING,6/5/2025,16:00,ESCRITO EN SEDE ,NO PERMITIDO,El acto evalutivo se llevara a cabo el dia 09/05 
16,Dº ROMANO,PROCTORING,6/5/2025,16:00,ESCRITO EN SEDE ,NO PERMITIDO,El acto evalutivo se llevara a cabo el dia 09/05 
363,HIS. CONS. ARG.,PROCTORING,6/5/2025,16:00,ESCRITO EN SEDE ,NO PERMITIDO,El acto evalutivo se llevara a cabo el dia 09/05 
355,HIS. CONS. ARG.,PROCTORING,6/5/2025,16:00,ESCRITO EN SEDE ,NO PERMITIDO,El acto evalutivo se llevara a cabo el dia 09/05 
16,Dº INTERNACIONAL PÚB,-------,6/5/2025,9:00,ORAL VIRTUAL,NO PERMITIDO,"Examen virtual domiciliario, asegurar funcionamieto de cámara y micrófono, caso contrario no se evaluara."
16,Dº INT. PUBL.,-------,6/5/2025,9:00,ORAL VIRTUAL,NO PERMITIDO,"Examen virtual domiciliario, asegurar funcionamieto de cámara y micrófono, caso contrario no se evaluara."
16,Dº CIVIL FLIA.,----------,6/5/2025,18:00,ESCRITO EN SEDE ,NO PERMITIDO,El acto evalutivo se llevara a cabo el dia 09/05 
