,,,,,,
,,,,,,
CARRERA,NOMBRE CORTO,FECHA,Hora,Tipo Examen,Material Permitido,Observaciones
138,ALGEBRA,26/2/2024,14:00,ESCRITO EN SEDE,,
138,Dº LABORAL,26/2/2024,18:00,ESCRITO EN SEDE,,
138,PSIC.LABORAL,26/2/2024,18:00,ESCRITO EN SEDE,,
138,DIDÁCT.Y CAP.PREV.RI,26/2/2024,16:00,ESCRITO EN SEDE,,
138,ORG. Y ESTUD.D/ TRAB,27/2/2024,14:00,ESCRITO EN SEDE,Pueden contar con hoja de fórmulas y tablas,
138,SEG.LAB.I (INT.PREV.,27/2/2024,18:00,,Solo se puede contar con calculadora científica sin tapas.,
138,SIS.REP.GRAF.Y DIGIT,27/2/2024,16:00,,,
138,FISICA II,28/2/2024,16:00,ESCRITO EN SEDE,,Promocional con 8 bajo condiciones estipuladas en programa
138,ANAT.BIOMEC.Y FIS.TR,28/2/2024,18:00,,,
138,AMB.TRABAJO III(CONT,28/2/2024,14:00,,,
138,QUÍMICA II,29/2/2024,16:00,ESCRITO EN SEDE,,"*Materia Promocional (no debe concurrir a Sede) *Materia Regular: examen escrito y debe ser subido como foto, con la supervisión del veedor. *También puede desarrollar el examen en pc pero se sube únicamente en pdf, con la supervisión del veedor"
138,INGLES,29/2/2024,14:00,,,
138,RECURSOS HUM.Y LIDER,29/2/2024,18:00,,,
138,GESTION AMBIENT.,1/3/2024,16:00,ESCRIT EN SEDE,,
138,QUÍMICA I,1/3/2024,18:00,,,
138,SEG.LAB.II(ELEC.CONS,1/3/2024,14:00,,,
138,FILOSOFIA,4/3/2024,14:00,promocional,,
138,TEC.DE LOS MATERIALE,4/3/2024,18:00,,,
138,AMB.DEL TRABAJO I,4/3/2024,16:00,,,
138,RELAC. HUM.,5/3/2024,14:00,ESCRITO EN SEDE,,sólo pueden utilizar el programa para orientar. No pueden usar ningún material de apoyo.
138,FISICA I,5/3/2024,16:00,Escrito en sede,,
138,DOC.SOC.IGLESIA,5/3/2024,18:00,Escrito en sede,,
