1° TURNO - 360 - TEC. EN SEGURIDAD INFORMÁTICA,,,,,,
,,,,,,
,,,,,,
CARRERA,NOMBRE CORTO,FECHA,Hora,Tipo Examen,Material Permitido,Observaciones
360,COMPONENTES INFORMAT,7/2/2024,16:00,Escrito,,
360,ALMACENAM.DE DATOS,7/2/2024,18:00,,,
360,ADQ.DESARR.Y MANT.SI,7/2/2024,18:00,,,
360,SEGURIDAD DE RRHH,7/2/2024,16:00,,,
360,PROT.FISICA Y AMBIEN,7/2/2024,14:00,,,
360,DES.DE APLICACIONES,8/2/2024,18:00,,,
360,POL.Y ORG.DE LA SEGU,8/2/2024,16:00,,,
360,GEST. INCIDENTES,8/2/2024,18:00,,,
360,TEC.COMUNIC. II,8/2/2024,16:00,,,
360,SERVIDORES,8/2/2024,14:00,,,
360,FORM. INTEGRAL,9/2/2024,16:00,,,
360,EVAL.Y TRATAM. RIESG,9/2/2024,14:00,,,
360,SEG. SOFTWARE,9/2/2024,18:00,,,
360,CONTROL DE ACCESOS,9/2/2024,16:00,,,
360,CONT.Y CUMPLIMIENTO,9/2/2024,18:00,,,
360,CONTROL DE ACCESOS,9/2/2024,16:00,,,
360,SEG. SOFTWARE,9/2/2024,18:00,,,
360,TEC.COMUNICACIONES I,14/2/2024,14:00,,,
360,GESTION DE ACTIV. TI,14/2/2024,16:00,,,
360,GEST.COM.Y OPER.,14/2/2024,14:00,,,
360,FORENSIA DIGITAL,14/2/2024,16:00,,,
360,GEST.COM.Y OPER.,14/2/2024,14:00,,,
360,FORENSIA DIGITAL,14/2/2024,16:00,,,
360,TRABAJO FINAL INTEG.,15/2/2024,18:00,Oral,,
360,TRABAJO FINAL INTEG.,15/2/2024,18:00,Oral,,
360,PBRA. SUF. ING.,15/2/2024,16:00,,,
360,PBA.SUF.MAT.Y FISICA,15/2/2024,14:00,,,
