1° TURNO - 58 - LIC. EN CIENCIA DE DATOS,,,,,,
,,,,,,
CARRERA,NOMBRE CORTO,FECHA,Hora,Tipo Examen,Material Permitido,Observaciones
58,CÁLC.DIF.E INTRG. I,7/2/2024,14:00,ESCRITO EN SEDE,,Promocional - Calculadora
58,CÁLC.DIF.E INTEG. II,7/2/2024,16:00,ESCRITO EN SEDE,Promocional - Calculadora,
58,PROB.Y ESTAD.CIENTÍF,7/2/2024,18:00,ESCRITO EN SEDE,Promocional - Calculadora,
58,ETICA PROFESIONAL,7/2/2024,16:00,,,
58,ALGEBRA LINEAL,8/2/2024,16:00,,,
58,GEOMET.ANALITICA,8/2/2024,14:00,,,
58,MATEMÁT.DISCRETA,8/2/2024,18:00,,,
58,MOD. Y SIMULAC.,8/2/2024,16:00,,,
58,PROGRAMACIÓN I,9/2/2024,14:00,,,
58,PROGRAMACIÓN II,9/2/2024,16:00,,,
58,BASE DE DATOS ESTRUC,9/2/2024,18:00,,,
58,BASE DE DAT. NO ESTR,9/2/2024,16:00,,,
58,INT. A LA EST.DATOS,14/2/2024,16:00,,,
58,AN.ALGORIT.COMPUT.,14/2/2024,14:00,,,
58,COMP.CONCURRENTE,14/2/2024,18:00,,,
58,ANÁLISIS DATOS MASIV,14/2/2024,18:00,,,
58,DOC.SOC.IGLESIA,15/2/2024,16:00,,,
58,GESTION EMPRESARIAL,15/2/2024,18:00,,,
