,,,,,,
,,,,,,
CARRERA,NOMBRE CORTO,FECHA,Hora,Tipo Examen,Material Permitido,Observaciones
360,COMPONENTES INFORMAT,26/2/2024,16:00,escrito en sede,,s/a
360,ALMACENAM.DE DATOS,26/2/2024,18:00,escrito en sede,,
360,ADQ.DESARR.Y MANT.SI,26/2/2024,18:00,,,
360,SEGURIDAD DE RRHH,26/2/2024,16:00,,,
360,PROT.FISICA Y AMBIEN,26/2/2024,14:00,,,
360,DES.DE APLICACIONES,27/2/2024,18:00,,,
360,POL.Y ORG.DE LA SEGU,27/2/2024,16:00,,,
360,GEST. INCIDENTES,27/2/2024,18:00,,,
360,TEC.COMUNIC. II,27/2/2024,16:00,,,
360,SERVIDORES,27/2/2024,14:00,,,
360,FORM. INTEGRAL,28/2/2024,16:00,,,
360,EVAL.Y TRATAM. RIESG,28/2/2024,14:00,,,
360,SEG. SOFTWARE,28/2/2024,18:00,,,
360,CONTROL DE ACCESOS,28/2/2024,16:00,,,
360,CONT.Y CUMPLIMIENTO,28/2/2024,18:00,Escrito en Sede,,
360,CONTROL DE ACCESOS,28/2/2024,16:00,,,
360,SEG. SOFTWARE,28/2/2024,18:00,Escrito en sede,,
360,TEC.COMUNICACIONES I,29/2/2024,14:00,Escrito en sede,,
360,GESTION DE ACTIV. TI,29/2/2024,16:00,,,
360,GEST.COM.Y OPER.,29/2/2024,14:00,,,
360,FORENSIA DIGITAL,29/2/2024,16:00,,,
360,GEST.COM.Y OPER.,29/2/2024,14:00,,,
360,FORENSIA DIGITAL,29/2/2024,16:00,,,
360,TRABAJO FINAL INTEG.,1/3/2024,18:00,oral,,
360,TRABAJO FINAL INTEG.,1/3/2024,18:00,oral,,
360,PBRA. SUF. ING.,1/3/2024,16:00,,,
360,PBA.SUF.MAT.Y FISICA,1/3/2024,14:00,,,
