,,,,,,
,,,,,,
CARRERA,NOMBRE CORTO,FECHA,Hora,Tipo Examen,Material Permitido,Observaciones
83,PSIC.LABORAL,26/2/2024,14:00,ESCRITO EN SEDE,Pueden contar con hoja de fórmulas y tablas,
83,SEG.INDUSTRIAL III,26/2/2024,18:00,ESCRITO EN SEDE,,
83,MET. DE LA INVEST.,26/2/2024,18:00,ESCRITO EN SEDE,,Suben un Trabajo los Promocionados
83,Dº LABORAL,26/2/2024,16:00,Escrito en sede,,
83,ORG. INDUSTRIAL,27/2/2024,16:00,ESCRITO EN SEDE,Pueden contar con hoja de fórmulas y tablas,
83,SEG.INDUSTRIAL I,27/2/2024,18:00,,,
83,SEG.INDUSTRIAL IV,27/2/2024,14:00,ESCRITO EN SEDE,Sin material de apoyo,
83,AMB.DEL TRABAJO II,27/2/2024,18:00,ESCRITO EN SEDE,Compendio de Legislación,
83,RELACIONES HUM.I,28/2/2024,18:00,ESCRITO EN SEDE,,sólo pueden utilizar el programa para orientar. No pueden usar ningún material de apoyo
83,TRAT.DE RESIDUOS I,28/2/2024,18:00,ESCRITO EN SEDE,,sólo pueden utilizar el programa para orientar. No pueden usar ningún material de apoyo
83,TOX.LAB.Y CONTROL DE,28/2/2024,14:00,ESCRITO EN SEDE,,Desarrollado digital (PC) y subido en pdf
83,SELECCION Y CAPACIT.,28/2/2024,16:00,ESCRITO EN SEDE,,Manuscrito legible y subirlo escaneado / foto.
83,MED.LAB.BIOMEC. Y FI,29/2/2024,14:00,,,
83,FISICA GENERAL,29/2/2024,16:00,ESCRITO EN SEDE,,No asisten los promocionados. Solo pueden usar calculadora (no celular)
83,ERGONOMIA,29/2/2024,18:00,ESCRITO EN SEDE,Sin material / sistema de apoyo,
83,ANALISIS DE RIESGOS,29/2/2024,18:00,ESCRITO EN SEDE,Tabla de Métodos Simplificados,
83,SEG.INDUSTRIAL II,1/3/2024,16:00,,,
83,QUIMICA IND.Y OPERAC,1/3/2024,18:00,ESCRITO EN SEDE,No asisten los promocionados. Solo pueden usar calculadora (no celular) y tabla periódica -PUEDE DESARROLLAR CADA PREGUNTA DEL EXAMEN UTILIZANDO PARA ELLO EL CUADRO DE TEXTO O BIEN PUEDE SUBIR UN ARCHIVO CON EL DESARROLLO REALIZADO MANUALMENTE EN FORMATO .DOC O EN PDF.,
83,TRAT.DE RESIDUOS II,1/3/2024,18:00,,,
83,SEG.INDUSTRIAL V,1/3/2024,14:00,ESCRITO EN SEDE,,
83,SOCIOLOGIA Y ETICA,4/3/2024,18:00,Escrito en sede,,
83,EST.DEL TRABAJO,4/3/2024,18:00,ESCRITO EN SEDE,Puede solo usar calculadora,
83,AMB.DEL TRABAJO I,4/3/2024,14:00,,SE PUEDE UTILIZAR CALCULADORA CIENTÍFICA,
83,EST.Y COSTOS APLICAD,4/3/2024,16:00,ESCRITO EN SEDE,Pueden contar con hoja de fórmulas y tablas,
83,RELACIONES HUM.II,5/3/2024,16:00,ESCRITO EN SEDE,,sólo pueden utilizar el programa para orientar. No pueden usar ningún material de apoyo.
83,HIG.INDUSTRIAL,5/3/2024,14:00,,,
83,TRAB.DE CAMPO INT.,5/3/2024,18:00,ORAL VIRTUAL,,
